,train_netrmse,test_rmse,test_mape,train_rmse,val_rmse,train_mape,val_mape,train_diff,val_diff,DropoutProp,activationFunction,batchSize,epochSize,exec_time,hiddenLayers,hiddenNodes,l1Penalty,learningRate,loss,optimizer,standardizationType,status,timeWindow,useHoliday,useWeekday,weightInit
7669,0.126873666193,14956.3694112,0.175046083635,8487.9325471,11636.7668649,0.0800498410216,0.104549726759,-0.0018129934257,-0.0340310792654,0.0137466202429,sigmoid,36,29,180.622014046,1,300,6.61796358334e-08,0.00148151442314,11636.7668649,adam,zscore,ok,37,False,True,normal
8481,0.120769428226,14971.1631373,0.175720703026,8295.35884342,11636.8034247,0.0780576972412,0.105186309374,-0.0033890702707,-0.0351035609773,0.0114229900133,sigmoid,36,30,184.352704048,1,295,5.80115101864e-08,0.00177863345863,11636.8034247,adam,zscore,ok,56,False,True,normal
6012,0.136034662525,14777.1362053,0.174101062105,8134.96045471,11637.1095864,0.0773961378565,0.104895575935,-0.00225005703534,-0.0319205633605,0.012955996889,sigmoid,44,28,214.34601903,1,290,6.74041496754e-07,0.00433922794687,11637.1095864,adam,zscore,ok,59,False,True,normal
7197,0.118042752056,14920.0486857,0.175943665568,8138.69151254,11637.2141012,0.0766229465346,0.10539119026,-0.00653227598497,-0.0368755055355,0.0156598704161,sigmoid,27,30,153.094936132,1,295,3.63864988871e-08,0.00159447294226,11637.2141012,adam,zscore,ok,41,False,True,normal
4816,0.112225481105,14612.851155,0.176173915378,8164.32812265,11637.2407366,0.0780989909668,0.107496472327,0.000364824512499,-0.0253264308841,0.00767649747095,sigmoid,36,27,130.870911121,1,270,1.01938403201e-08,0.00474091080976,11637.2407366,adam,zscore,ok,24,False,True,normal
8067,0.127843674893,14750.0430607,0.174813323811,8561.20808301,11637.3224222,0.081646146796,0.105588822859,0.000878101032796,-0.0298804755782,0.0146188172365,sigmoid,35,29,206.011226892,1,285,6.2089748654e-08,0.00169990544612,11637.3224222,adam,zscore,ok,50,False,True,normal
7007,0.127080531876,14940.4132197,0.174856845635,8354.40612021,11637.4514267,0.0787113684633,0.104248357434,-0.00321133636642,-0.0352612622163,0.0107508012145,sigmoid,33,31,197.210801125,1,295,1.90054434941e-07,0.00156897240962,11637.4514267,adam,zscore,ok,68,False,True,normal
4692,0.121727019791,15024.4668699,0.175813916014,8387.46625035,11637.5004858,0.0790628763885,0.105129138614,-0.00108606672828,-0.0340055165563,0.0132209420426,sigmoid,32,29,210.479285955,1,260,1.87595099185e-08,0.00174623804494,11637.5004858,adam,zscore,ok,59,True,True,normal
4786,0.11151794167,14789.8856367,0.175212900229,7770.59736786,11637.5584899,0.0735561140033,0.106232659834,-0.00449503444509,-0.0310910657553,0.00839939546163,sigmoid,42,29,99.2891881466,1,280,8.65489375164e-08,0.00503891421443,11637.5584899,adam,zscore,ok,29,False,True,normal
10505,0.11181860932,14818.7662937,0.175976117865,7770.13152262,11637.6669308,0.0740855648036,0.106545991503,-0.00473748083319,-0.0305182453778,0.0192604228364,sigmoid,32,30,117.120239973,1,295,6.54237660543e-08,0.00388914065995,11637.6669308,adam,zscore,ok,24,False,True,normal
