,DropoutProp,activationFunction,batchSize,earlyStopping,epochSize,exec_time,hiddenLayers,hiddenNodes,indexID,l1Penalty,learningRate,noFillZero,optimizer,standardizationType,stationIDs,test_mape,test_rmse,timeWindow,train_mape,train_rmse,useHoliday,useWeekday,val_mape,val_rmse,weightInit
970,0.001,relu,1,True,15,279.781610966,2,80,970,1e-06,0.001,True,adam,zscore,13,0.186377922519,15963.9219543,7,0.0909948750503,9857.97465324,True,True,0.118997678012,13423.589484,lecun_uniform
984,0.001,relu,1,True,15,352.020004034,2,80,984,1e-06,0.001,True,adam,zscore,13,0.186898260039,15989.9689435,21,0.0915238723669,10010.0509488,True,True,0.118203465111,13423.741308,lecun_uniform
1007,0.001,relu,1,True,15,617.737040043,2,80,1007,1e-06,0.001,True,adam,zscore,13,0.186903455814,16002.066701,44,0.0928852127061,10033.7664027,True,True,0.118596930437,13426.123441,lecun_uniform
1010,0.001,relu,1,True,15,491.553864956,2,80,1010,1e-06,0.001,True,adam,zscore,13,0.186138158561,15786.0044039,47,0.0908772055884,9742.21891723,True,True,0.119514881227,13429.9477079,lecun_uniform
1049,0.001,relu,1,True,15,723.666733027,2,80,1049,1e-06,0.001,True,adam,zscore,13,0.186701983684,15935.0048483,86,0.0918291486282,9999.91857418,True,True,0.117770648591,13433.3337123,lecun_uniform
248,0.001,relu,1,True,15,3220.15677404,2,251,248,1e-06,0.001,True,adam,zscore,13,0.188003281636,15668.7061349,168,0.0947948840798,10155.1200591,True,True,0.12086577222,13434.062534,lecun_uniform
236,0.001,relu,1,True,15,2906.71529794,2,239,236,1e-06,0.001,True,adam,zscore,13,0.185910786835,15688.6792783,168,0.0945016744614,10236.3182556,True,True,0.120231537777,13435.2743686,lecun_uniform
11,0.001,relu,1,True,15,840.30313611,2,14,11,1e-06,0.001,True,adam,zscore,13,0.192858698323,16066.7577509,168,0.102070726401,11039.4698816,True,True,0.121682394483,13436.2007958,lecun_uniform
1726,0.001,relu,1,True,28,2537.43134999,2,80,1726,1e-06,0.001,True,adam,zscore,13,0.18623820167,15821.9764081,168,0.0907362503434,9935.98271553,True,True,0.118317787329,13436.681512,lecun_uniform
1725,0.001,relu,1,True,27,2677.21420503,2,80,1725,1e-06,0.001,True,adam,zscore,13,0.185731054781,16050.8064126,168,0.0878551992552,9561.12514818,True,True,0.116295536138,13444.211254,lecun_uniform
1315,0.001,relu,17,True,15,231.79300499,2,80,1315,1e-06,0.001,True,adam,zscore,13,0.193451166908,15601.3040743,168,0.1023134064,10543.3068645,True,True,0.12594420783,13446.721484,lecun_uniform
701,0.1221,relu,1,True,15,1342.51491499,2,80,701,1e-06,0.001,True,adam,zscore,13,0.19740629792,16010.4176778,168,0.108414478826,11423.9290296,True,True,0.1266755876,13449.983919,lecun_uniform
325,0.001,relu,1,True,15,3849.34757805,2,328,325,1e-06,0.001,True,adam,zscore,13,0.187583129466,15831.2586718,168,0.0955231294624,10213.2541164,True,True,0.120230386504,13450.168838,lecun_uniform
1018,0.001,relu,1,True,15,580.187802076,2,80,1018,1e-06,0.001,True,adam,zscore,13,0.188065739959,15973.5000002,55,0.0916353962339,9923.0989532,True,True,0.119032783902,13452.678124,lecun_uniform
63,0.001,relu,1,True,15,1171.18442202,2,66,63,1e-06,0.001,True,adam,zscore,13,0.187030201841,15841.9796391,168,0.0935777265142,10019.7463814,True,True,0.119867697775,13453.4108647,lecun_uniform
113,0.001,relu,1,True,15,1458.46021605,2,116,113,1e-06,0.001,True,adam,zscore,13,0.186602602179,15613.8821737,168,0.0930812334449,10139.6603919,True,True,0.119424501856,13456.5711338,lecun_uniform
202,0.001,relu,1,True,15,2431.14906693,2,205,202,1e-06,0.001,True,adam,zscore,13,0.184952533877,15652.2122357,168,0.0925725180846,9920.32391295,True,True,0.119824561166,13456.9372407,lecun_uniform
687,0.0759,relu,1,True,15,1080.08940721,2,80,687,1e-06,0.001,True,adam,zscore,13,0.190226888935,15675.1243872,168,0.0971223570249,10394.9773888,True,True,0.122589436863,13465.9170044,lecun_uniform
285,0.001,relu,1,True,15,2924.67820406,2,288,285,1e-06,0.001,True,adam,zscore,13,0.188639391178,15640.1117677,168,0.0963184774089,10382.8829043,True,True,0.120949487535,13471.1541489,lecun_uniform
